"","mean_expression.gene","mean_expression.epoch","mean_expression.mean_expression"
"Nr2f1","Nr2f1","epoch1",-0.297397904589697
"Vcan","Vcan","epoch1",-0.251822114586452
"F2rl1","F2rl1","epoch1",0.240142512117479
"F2r","F2r","epoch1",-0.497594657461608
"Hexb","Hexb","epoch1",0.302248402141734
"Map1b","Map1b","epoch1",-0.42419397943951
"Ccnb1","Ccnb1","epoch1",0.303187605701529
"Erbin","Erbin","epoch1",-0.318030316174635
"Isl1","Isl1","epoch1",-0.101234831407591
"Klf6","Klf6","epoch1",0.0913405440015562
"Gli3","Gli3","epoch1",-0.325086759124424
"Hist1h2bc","Hist1h2bc","epoch1",0.0877341927610678
"Foxq1","Foxq1","epoch1",-0.204916473913011
"Foxc1","Foxc1","epoch1",-0.191182809432751
"Serpinb9b","Serpinb9b","epoch1",0.116371331481159
"Dsp","Dsp","epoch1",-0.233489909072213
"Jarid2","Jarid2","epoch1",0.354366501850587
"Rbm24","Rbm24","epoch1",-0.148236675462142
"Cks2","Cks2","epoch1",0.274917040742948
"Gadd45g","Gadd45g","epoch1",0.191753777037115
"Cplx2","Cplx2","epoch1",-0.269008702130487
"Dapk1","Dapk1","epoch1",-0.0790803997421656
"Glrx","Glrx","epoch1",0.22951050981085
"Ssbp2","Ssbp2","epoch1",-0.473000990917084
"Serinc5","Serinc5","epoch1",-0.16464362698158
"Mtx3","Mtx3","epoch1",-0.117214346748923
"Lncenc1","Lncenc1","epoch1",0.7097064698219
"Foxd1","Foxd1","epoch1",-0.272961172355613
"Serf1","Serf1","epoch1",-0.435265035254746
"Elovl7","Elovl7","epoch1",0.0208597860209228
"Plk2","Plk2","epoch1",0.252239636400523
"Ccno","Ccno","epoch1",0.325908288132721
"Emb","Emb","epoch1",0.230834300154678
"Fgf10","Fgf10","epoch1",-0.176534009842098
"Zfp503","Zfp503","epoch1",-0.514090458635562
"Fam25c","Fam25c","epoch1",0.519292712060328
"2610528A11Rik","2610528A11Rik","epoch1",-0.107458051237358
"Fam213a","Fam213a","epoch1",0.178562290219562
"Otx2","Otx2","epoch1",0.240322340829392
"Ccnb1ip1","Ccnb1ip1","epoch1",0.492016110342317
"Ndrg2","Ndrg2","epoch1",0.0464744716126302
"Slc7a7","Slc7a7","epoch1",0.437624934711494
"Slc7a8","Slc7a8","epoch1",0.0324793878545616
"Phf11d","Phf11d","epoch1",0.583820503526533
"Tnfrsf19","Tnfrsf19","epoch1",-0.163990071838778
"Gata4","Gata4","epoch1",-0.147127981869702
"Tdh","Tdh","epoch1",1.02079032455349
"Fzd3","Fzd3","epoch1",-0.457679702526876
"Esco2","Esco2","epoch1",0.473259367509083
"Ephx2","Ephx2","epoch1",0.551531268458643
"Dpysl2","Dpysl2","epoch1",-0.640499709941669
"Fgf17","Fgf17","epoch1",0.0718941174939199
"Rgcc","Rgcc","epoch1",0.174788263092186
"Pcdh8","Pcdh8","epoch1",-0.172967905623054
"Dach1","Dach1","epoch1",-0.277728370149729
"Spry2","Spry2","epoch1",-0.216241725417904
"Sox21","Sox21","epoch1",-0.340804875974879
"Zic5","Zic5","epoch1",-0.0103878650121712
"Flnb","Flnb","epoch1",-0.128734991256961
"Top2b","Top2b","epoch1",-0.564735821632049
"Nid2","Nid2","epoch1",0.372015075673152
"Kat6b","Kat6b","epoch1",0.34240669806294
"Zmiz1","Zmiz1","epoch1",-0.503678654786199
"Il17rd","Il17rd","epoch1",-0.345287708668564
"Wnt5a","Wnt5a","epoch1",-0.332827915640803
"Gdf10","Gdf10","epoch1",-0.14834086093957
"Lgals3","Lgals3","epoch1",0.3924912475995
"Rnase4","Rnase4","epoch1",-0.18261562378576
"Rec8","Rec8","epoch1",0.15431642055814
"Rnf17","Rnf17","epoch1",0.554708685064074
"Clu","Clu","epoch1",-0.14242803770576
"Ebf2","Ebf2","epoch1",-0.106019065880836
"Nefl","Nefl","epoch1",0.183044593912126
"Loxl2","Loxl2","epoch1",-0.296447209900406
"Tnfrsf10b","Tnfrsf10b","epoch1",0.0219094986994254
"Lpar6","Lpar6","epoch1",-0.537665138350487
"Tsc22d1","Tsc22d1","epoch1",-0.26043562087949
"Enox1","Enox1","epoch1",0.495698511297933
"Klf5","Klf5","epoch1",0.515845177926952
"Gpc6","Gpc6","epoch1",-0.299289475086377
"Mbnl2","Mbnl2","epoch1",0.0100796315724475
"Farp1","Farp1","epoch1",-0.224572820636222
"Dnajc21","Dnajc21","epoch1",0.45561238909941
"Basp1","Basp1","epoch1",-0.458543570579838
"Trio","Trio","epoch1",-0.179127055774756
"Enpp2","Enpp2","epoch1",0.225570211820493
"Arc","Arc","epoch1",0.161281249282626
"Mfng","Mfng","epoch1",-0.197862465293879
"Csnk1e","Csnk1e","epoch1",-0.57396098472347
"Cbx7","Cbx7","epoch1",0.54588910558459
"Phf5a","Phf5a","epoch1",0.185263172108775
