"","TG","TF","zscore","corr","offset","weighted_score"
"745","Plagl1","Foxd1",12.0110287294986,0.25074301174314,17.1016042780749,12.0110287294986
"746","Plagl1","Hoxd11",7.93068913976036,0.175471458434392,-58.6256684491979,7.93068913976036
"747","Plagl1","Mllt3",3.75501924386249,0.139793742346939,11.0588235294118,3.75501924386249
"748","Plagl1","Hoxa7",8.04944475779737,0.200962718700164,-7.96791443850267,8.04944475779737
"749","Cited2","Sox11",3.80588654496621,0.231691794887133,3.77005347593583,3.80588654496621
"750","Cited2","Zfp36l1",5.55943243539149,0.161648305769039,-22.9786096256685,5.55943243539149
"751","Cited2","Sox4",3.57729794836314,0.22373412783391,7.66310160427807,3.57729794836314
"752","Cited2","Zic2",3.05634434651416,0.207731005139499,-19.1711229946524,3.05634434651416
"753","Cited2","Basp1",4.43778374045178,0.24332440299719,-14.9839572192513,4.43778374045178
"754","Cited2","T",5.63526096408132,0.272183994159848,-1.88235294117647,5.63526096408132
"755","Cited2","Lmo4",3.45379103892288,0.221216188672895,4.02139037433155,3.45379103892288
"756","Cited2","Tead2",4.93270280246636,0.257634951341758,-5.39572192513369,4.93270280246636
"757","Cited2","Utf1",4.91987278066347,-0.257196799750042,-9.44919786096257,4.91987278066347
"758","Cited2","Klf2",3.13533174843392,-0.214578005025011,3.31550802139037,3.13533174843392
